layer_name,weight_shape,total_params,zero_params,sparsity
conv1,"[64, 3, 7, 7]",9408,0,0.0
layer1.0.conv1,"[64, 64, 3, 3]",36864,0,0.0
layer1.0.conv2,"[64, 64, 3, 3]",36864,0,0.0
layer1.1.conv1,"[64, 64, 3, 3]",36864,0,0.0
layer1.1.conv2,"[64, 64, 3, 3]",36864,0,0.0
layer2.0.conv1,"[128, 64, 3, 3]",73728,0,0.0
layer2.0.conv2,"[128, 128, 3, 3]",147456,0,0.0
layer2.0.downsample.0,"[128, 64, 1, 1]",8192,0,0.0
layer2.1.conv1,"[128, 128, 3, 3]",147456,0,0.0
layer2.1.conv2,"[128, 128, 3, 3]",147456,0,0.0
layer3.0.conv1,"[256, 128, 3, 3]",294912,0,0.0
layer3.0.conv2,"[256, 256, 3, 3]",589824,0,0.0
layer3.0.downsample.0,"[256, 128, 1, 1]",32768,0,0.0
layer3.1.conv1,"[256, 256, 3, 3]",589824,0,0.0
layer3.1.conv2,"[256, 256, 3, 3]",589824,0,0.0
layer4.0.conv1,"[512, 256, 3, 3]",1179648,0,0.0
layer4.0.conv2,"[512, 512, 3, 3]",2359296,1,4.238552517361111e-07
layer4.0.downsample.0,"[512, 256, 1, 1]",131072,0,0.0
layer4.1.conv1,"[512, 512, 3, 3]",2359296,1,4.238552517361111e-07
layer4.1.conv2,"[512, 512, 3, 3]",2359296,0,0.0
fc,"[10, 512]",5120,0,0.0
