layer_name,weight_shape,total_params,zero_params,sparsity
conv1,"[64, 3, 7, 7]",9408,84,0.008928571428571428
layer1.0.conv1,"[64, 64, 3, 3]",36864,643,0.017442491319444444
layer1.0.conv2,"[64, 64, 3, 3]",36864,242,0.006564670138888889
layer1.1.conv1,"[64, 64, 3, 3]",36864,320,0.008680555555555556
layer1.1.conv2,"[64, 64, 3, 3]",36864,320,0.008680555555555556
layer2.0.conv1,"[128, 64, 3, 3]",73728,482,0.006537543402777778
layer2.0.conv2,"[128, 128, 3, 3]",147456,1217,0.008253309461805556
layer2.0.downsample.0,"[128, 64, 1, 1]",8192,31,0.0037841796875
layer2.1.conv1,"[128, 128, 3, 3]",147456,1673,0.011345757378472222
layer2.1.conv2,"[128, 128, 3, 3]",147456,2043,0.01385498046875
layer3.0.conv1,"[256, 128, 3, 3]",294912,3936,0.013346354166666666
layer3.0.conv2,"[256, 256, 3, 3]",589824,39277,0.06659105088975695
layer3.0.downsample.0,"[256, 128, 1, 1]",32768,368,0.01123046875
layer3.1.conv1,"[256, 256, 3, 3]",589824,111358,0.18879869249131945
layer3.1.conv2,"[256, 256, 3, 3]",589824,122874,0.20832316080729166
layer4.0.conv1,"[512, 256, 3, 3]",1179648,311563,0.26411522759331596
layer4.0.conv2,"[512, 512, 3, 3]",2359296,895264,0.3794623480902778
layer4.0.downsample.0,"[512, 256, 1, 1]",131072,6671,0.05089569091796875
layer4.1.conv1,"[512, 512, 3, 3]",2359296,928506,0.39355214436848956
layer4.1.conv2,"[512, 512, 3, 3]",2359296,924701,0.3919393751356337
fc,"[10, 512]",5120,37,0.0072265625
